#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           1           14.749938     0.00934537        12.056881      0.0133219        15.405911     0.00873799       -18.26%      4.45%
           1           2           15.510942     0.00914358        11.093741     0.00658008        22.295208      0.0130444       -28.48%     43.74%
           2           3                   0              0                0              0                0              0            0%         0%
