#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         570         580       0.00034170438    2.72141e-05    0.00028733898    4.40786e-05    0.00036309704    1.78513e-05       -15.91%      6.26%
         580         590       0.00036062009    2.03444e-05    0.00034674598    3.34205e-05    0.00036062009    2.03444e-05        -3.85%   0.00000%
         590         600       0.00027700076    2.12982e-05    0.00024006508    3.48958e-05    0.00029001000    1.39863e-05       -13.33%      4.70%
         600         610       0.00030218175    1.96523e-05    0.00029699452    1.32614e-05    0.00030370192    1.75631e-05        -1.72%      0.50%
         610         620       0.00019144573    1.80653e-05    0.00014006453    2.68643e-05    0.00021431684    1.44753e-05       -26.84%     11.95%
         620         630       0.00022618349    1.59281e-05    0.00019903198    2.73779e-05    0.00023408618    1.12379e-05       -12.00%      3.49%
         630         640       0.00019536909    1.35269e-05    0.00017212135    2.08069e-05    0.00020240731    9.60029e-06       -11.90%      3.60%
         640         650       0.00016717326    1.76395e-05    0.00015064367    3.60963e-05    0.00017544288    1.20239e-05        -9.89%      4.95%
         650         660       0.00016653359    1.37615e-05    0.00015328511    2.05997e-05    0.00017080500    1.25052e-05        -7.96%      2.56%
         660         670       0.00014648466    1.15441e-05    0.00013853763    1.85498e-05    0.00014939284    1.03788e-05        -5.43%      1.99%
         670         680       0.00015353055    1.89085e-05    0.00015047805    1.34429e-05    0.00015548851    1.64925e-05        -1.99%      1.28%
         680         690       0.00012240092    9.47162e-06    0.00010912113    1.46237e-05    0.00012487207    6.14909e-06       -10.85%      2.02%
         690         700       0.00011386192    9.92405e-06    0.00010264531    1.57769e-05    0.00011879437    1.03963e-05        -9.85%      4.33%
         700         710       8.8036434e-05    7.24682e-06    7.2360861e-05    1.11626e-05    9.5413257e-05    5.25786e-06       -17.81%      8.38%
         710         720       9.5760795e-05    7.64016e-06    8.7138518e-05    1.17969e-05    9.7314497e-05    6.91334e-06        -9.00%      1.62%
         720         730       8.3082816e-05    6.70406e-06    7.6306773e-05    1.02654e-05    8.5412814e-05    4.78172e-06        -8.16%      2.80%
         730         740       6.7816619e-05    6.77572e-06    5.5827831e-05    1.05258e-05    7.3963672e-05    4.76904e-06       -17.68%      9.06%
         740         750       7.1774091e-05    5.95122e-06    6.6661339e-05    9.03254e-06    7.3210641e-05    4.62591e-06        -7.12%      2.00%
         750         760       7.0027716e-05    6.20835e-06    6.8848342e-05    4.30708e-06    7.0498369e-05    8.55737e-06        -1.68%      0.67%
         760         770       5.1494910e-05    6.25304e-06    4.3949362e-05    9.28507e-06    5.4443445e-05    4.52978e-06       -14.65%      5.73%
         770         780       5.1827331e-05    5.46569e-06    4.6698834e-05    8.68528e-06    5.3728891e-05    3.73913e-06        -9.90%      3.67%
         780         790       4.5520143e-05    5.15816e-06    3.8933676e-05    8.17062e-06    4.7975464e-05    3.52346e-06       -14.47%      5.39%
         790         800       4.4572289e-05    4.13293e-06    3.7335976e-05    6.84133e-06    4.7169181e-05    2.89350e-06       -16.24%      5.83%
         800         810       4.7671919e-05    3.85813e-06    4.3837505e-05    6.13265e-06    4.8565719e-05    3.54079e-06        -8.04%      1.87%
         810         820       3.2849790e-05    3.62268e-06    2.7248714e-05    5.46668e-06    3.4897600e-05    2.61991e-06       -17.05%      6.23%
         820         830       2.9809221e-05    3.35957e-06    2.2748086e-05    5.11599e-06    3.2778672e-05    2.39903e-06       -23.69%      9.96%
