#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.018633006     0.00231368      0.017256790     0.00152770      0.019267075     0.00364127        -7.39%      3.40%
          10          20         0.040811067     0.00237201      0.038517686     0.00142247      0.041099266     0.00220680        -5.62%      0.71%
          20          30         0.060934660     0.00307580      0.057195780     0.00189478      0.061711721     0.00484191        -6.14%      1.28%
          30          40         0.081164661     0.00385010      0.076071637     0.00237202      0.082561927     0.00606024        -6.27%      1.72%
          40          50          0.10477912     0.00363395      0.097301687     0.00222160       0.10855542     0.00570721        -7.14%      3.60%
          50          60          0.12408591     0.00223767       0.11570964     0.00144341       0.12812750     0.00338868        -6.75%      3.26%
          60          70          0.14510373     0.00200684       0.13543906     0.00134688       0.14998846     0.00293916        -6.66%      3.37%
          70          80          0.16877239     0.00182447       0.15724283     0.00129702       0.17554123     0.00273483        -6.83%      4.01%
          80          90          0.19034725     0.00300475       0.17755184     0.00180333       0.19771625     0.00474931        -6.72%      3.87%
          90         100          0.21251732     0.00256199       0.19888529     0.00213092       0.22104752     0.00384107        -6.41%      4.01%
         100         110          0.23262334     0.00212640       0.21745445     0.00139963       0.24140667     0.00317470        -6.52%      3.78%
         110         120          0.24726747     0.00434142       0.23283414     0.00260955       0.25449968     0.00686445        -5.84%      2.92%
         120         130          0.25177852     0.00197668       0.23731978     0.00137082       0.25966779     0.00283211        -5.74%      3.13%
         130         140          0.23919318     0.00197647       0.22680943     0.00142801       0.24573700     0.00271633        -5.18%      2.74%
         140         150          0.21653984     0.00220315       0.20680205     0.00155744       0.22100558     0.00304931        -4.50%      2.06%
         150         160          0.19179524     0.00237843       0.18417485     0.00160578       0.19474784     0.00347219        -3.97%      1.54%
         160         170          0.17223114     0.00320491       0.16480798     0.00195672       0.17623328     0.00547697        -4.31%      2.32%
         170         180          0.14259479     0.00295232       0.13757544     0.00151625       0.14314274     0.00463095        -3.52%      0.38%
         180         190          0.12417791     0.00307264       0.11978765     0.00145274       0.12525970     0.00492084        -3.54%      0.87%
         190         200          0.10678546     0.00303971       0.10329718     0.00178619       0.10812526     0.00533264        -3.27%      1.25%
         200         210         0.086173124     0.00250438      0.084604974     0.00149123      0.086519392     0.00229625        -1.82%      0.40%
         210         220         0.074910461     0.00141907      0.073186420    0.000900553      0.075098129     0.00156388        -2.30%      0.25%
         220         230         0.058625718     0.00127588      0.056138153     0.00222317      0.059017173     0.00115743        -4.24%      0.67%
         230         240         0.052832584     0.00215948      0.051642297     0.00126265      0.052985137     0.00239891        -2.25%      0.29%
         240         250         0.042772913     0.00155377      0.041821378     0.00276753      0.043002524     0.00139510        -2.22%      0.54%
         250         260         0.034661591     0.00142270      0.033067076     0.00256292      0.034987037     0.00126300        -4.60%      0.94%
         260         270         0.030118860    0.000826340      0.029114584     0.00142472      0.030314762    0.000738124        -3.33%      0.65%
         270         280         0.026501591     0.00123381      0.026014905    0.000715532      0.026560531     0.00109194        -1.84%      0.22%
         280         290         0.020371028    0.000728662      0.020022808     0.00136594      0.020744663    0.000421636        -1.71%      1.83%
         290         300         0.017680112    0.000596206      0.016831942     0.00103172      0.017863330    0.000533675        -4.80%      1.04%
         300         310         0.014557875    0.000376271      0.013549266    0.000554327      0.014814301    0.000243458        -6.93%      1.76%
         310         320         0.012229387    0.000421194      0.011277766    0.000751402      0.012421940    0.000373408        -7.78%      1.57%
         320         330         0.010894331    0.000372929      0.010361975    0.000464586      0.011009240    0.000267080        -4.89%      1.05%
         330         340        0.0091568448    0.000254587     0.0085981044    0.000415433     0.0092690053    0.000230601        -6.10%      1.22%
         340         350        0.0078639781    0.000284481     0.0073522893    0.000482469     0.0079733724    0.000254384        -6.51%      1.39%
         350         360        0.0063868499    0.000257726     0.0057759345    0.000375517     0.0065907630    0.000159646        -9.57%      3.19%
         360         370        0.0058382377    0.000165706     0.0054200618    0.000264705     0.0059369155    0.000110431        -7.16%      1.69%
         370         380        0.0050511505    0.000185979     0.0047146866    0.000308559     0.0051358377    0.000167846        -6.66%      1.68%
         380         390        0.0041559234    0.000156834     0.0037849509    0.000266997     0.0042748725    0.000103214        -8.93%      2.86%
         390         400        0.0038544940    0.000151875     0.0036802719    0.000261848     0.0038903794    0.000134756        -4.52%      0.93%
         400         410        0.0030632759    0.000126223     0.0028043331    0.000211619     0.0031897748    7.76056e-05        -8.45%      4.13%
