#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         530         540       0.00056316151    1.23988e-06    0.00043056482    9.49160e-07    0.00075179507    1.65307e-06       -23.55%     33.50%
         540         550       0.00050121447    1.15417e-06    0.00038292572    8.82904e-07    0.00066962794    1.54002e-06       -23.60%     33.60%
         550         560       0.00044740588    1.07830e-06    0.00034155947    8.24247e-07    0.00059822672    1.43997e-06       -23.66%     33.71%
         560         570       0.00040150305    1.01201e-06    0.00030631696    7.73069e-07    0.00053722928    1.35242e-06       -23.71%     33.80%
         570         580       0.00036178272    9.50326e-07    0.00027580844    7.25420e-07    0.00048447390    1.27099e-06       -23.76%     33.91%
         580         590       0.00032454746    8.87799e-07    0.00024727016    6.77250e-07    0.00043490087    1.18820e-06       -23.81%     34.00%
         590         600       0.00029227800    8.37048e-07    0.00022252323    6.38086e-07    0.00039196816    1.12114e-06       -23.87%     34.11%
         600         610       0.00026280645    7.87014e-07    0.00019994753    5.99546e-07    0.00035270918    1.05489e-06       -23.92%     34.21%
         610         620       0.00023735052    7.42123e-07    0.00018046572    5.64986e-07    0.00031876597    9.95418e-07       -23.97%     34.30%
         620         630       0.00021329724    6.97156e-07    0.00016207864    5.30425e-07    0.00028665030    9.35725e-07       -24.01%     34.39%
         630         640       0.00019456291    6.59509e-07    0.00014774560    5.01451e-07    0.00026166158    8.85833e-07       -24.06%     34.49%
         640         650       0.00017712486    6.24154e-07    0.00013441857    4.74273e-07    0.00023837625    8.38927e-07       -24.11%     34.58%
         650         660       0.00016121518    5.92013e-07    0.00012226128    4.49550e-07    0.00021712810    7.96314e-07       -24.16%     34.68%
         660         670       0.00014571913    5.58875e-07    0.00011044795    4.24150e-07    0.00019637921    7.52207e-07       -24.20%     34.77%
         670         680       0.00013177319    5.27220e-07    9.9822107e-05    3.99899e-07    0.00017769363    7.10043e-07       -24.25%     34.85%
         680         690       0.00012005727    4.99385e-07    9.0887819e-05    3.78542e-07    0.00016201078    6.73040e-07       -24.30%     34.94%
         690         700       0.00010994988    4.76481e-07    8.3188743e-05    3.60974e-07    0.00014846510    6.42577e-07       -24.34%     35.03%
         700         710       9.8938796e-05    4.48608e-07    7.4805172e-05    3.39628e-07    0.00013370162    6.05449e-07       -24.39%     35.14%
         710         720       9.0611479e-05    4.28346e-07    6.8483263e-05    3.24165e-07    0.00012249921    5.78342e-07       -24.42%     35.19%
         720         730       8.2135148e-05    4.04645e-07    6.2040310e-05    3.06050e-07    0.00011111297    5.46699e-07       -24.47%     35.28%
         730         740       7.5785359e-05    3.86740e-07    5.7202834e-05    2.92302e-07    0.00010260457    5.22922e-07       -24.52%     35.39%
         740         750       6.9366799e-05    3.67139e-07    5.2332651e-05    2.77349e-07    9.3964559e-05    4.96689e-07       -24.56%     35.46%
         750         760       6.3454264e-05    3.51942e-07    4.7848106e-05    2.65748e-07    8.6002630e-05    4.76369e-07       -24.59%     35.53%
         760         770       5.8121622e-05    3.32466e-07    4.3799060e-05    2.50867e-07    7.8829317e-05    4.50348e-07       -24.64%     35.63%
         770         780       5.3246059e-05    3.18794e-07    4.0102482e-05    2.40427e-07    7.2260862e-05    4.32075e-07       -24.68%     35.71%
         780         790       4.8575361e-05    3.02929e-07    3.6564682e-05    2.28341e-07    6.5961511e-05    4.10804e-07       -24.73%     35.79%
         790         800       4.5006870e-05    2.88449e-07    3.3863297e-05    2.17321e-07    6.1145400e-05    3.91376e-07       -24.76%     35.86%
         800         810       4.0892030e-05    2.74542e-07    3.0749918e-05    2.06734e-07    5.5588849e-05    3.72717e-07       -24.80%     35.94%
         810         820       3.7883899e-05    2.66138e-07    2.8468090e-05    2.00291e-07    5.1538820e-05    3.61537e-07       -24.85%     36.04%
         820         830       3.4976153e-05    2.51718e-07    2.6278510e-05    1.89384e-07    4.7590651e-05    3.42043e-07       -24.87%     36.07%
         830         840       3.1751179e-05    2.37398e-07    2.3843091e-05    1.78513e-07    4.3226997e-05    3.22778e-07       -24.91%     36.14%
         840         850       2.8876461e-05    2.25472e-07    2.1664023e-05    1.69392e-07    3.9353117e-05    3.06866e-07       -24.98%     36.28%
         850         860       2.7532124e-05    2.25080e-07    2.0652162e-05    1.69085e-07    3.7526601e-05    3.06349e-07       -24.99%     36.30%
         860         870       2.5098678e-05    2.11656e-07    1.8811067e-05    1.58874e-07    3.4241042e-05    2.88333e-07       -25.05%     36.43%
         870         880       2.2951575e-05    1.98975e-07    1.7195556e-05    1.49294e-07    3.1324000e-05    2.71175e-07       -25.08%     36.48%
         880         890       2.1269038e-05    1.89199e-07    1.5928643e-05    1.41896e-07    2.9039315e-05    2.57966e-07       -25.11%     36.53%
         890         900       1.9528596e-05    1.80091e-07    1.4615295e-05    1.34970e-07    2.6682482e-05    2.45734e-07       -25.16%     36.63%
         900         910       1.8020764e-05    1.73385e-07    1.3482467e-05    1.29907e-07    2.4630349e-05    2.36650e-07       -25.18%     36.68%
         910         920       1.7063920e-05    1.75183e-07    1.2758608e-05    1.31192e-07    2.3338243e-05    2.39230e-07       -25.23%     36.77%
         920         930       1.5432407e-05    1.65560e-07    1.1534427e-05    1.23941e-07    2.1114863e-05    2.26169e-07       -25.26%     36.82%
         930         940       1.4932040e-05    1.59565e-07    1.1152036e-05    1.19365e-07    2.0447236e-05    2.18162e-07       -25.31%     36.94%
         940         950       1.3521454e-05    1.48158e-07    1.0092993e-05    1.10767e-07    1.8526322e-05    2.02688e-07       -25.36%     37.01%
         950         960       1.2397266e-05    1.39226e-07    9.2514078e-06    1.04059e-07    1.6990940e-05    1.90527e-07       -25.38%     37.05%
         960         970       1.1353278e-05    1.31134e-07    8.4685053e-06    9.79617e-08    1.5567323e-05    1.79546e-07       -25.41%     37.12%
         970         980       1.0505524e-05    1.24329e-07    7.8307971e-06    9.28111e-08    1.4415632e-05    1.70365e-07       -25.46%     37.22%
         980         990       9.7993529e-06    1.19256e-07    7.3028164e-06    8.89980e-08    1.3449545e-05    1.63461e-07       -25.48%     37.25%
         990        1000       9.2101726e-06    1.15098e-07    6.8597723e-06    8.58448e-08    1.2648765e-05    1.57861e-07       -25.52%     37.33%
