# NNLO Mhh cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: MSHT20xNNPDF40_NNLO_qed, MH=125 GeV
# Mhh(min) Mhh(max) scale=(muR/mu0,muF/mu0):
# Mhh(min) Mhh(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
250 270 0.0174853051556641 0.01644038195017077 0.018081580878587623 0.017497013547062283 0.016417668157991994 0.017541472461665136 0.018078199867495873
270 290 0.13471215977698206 0.12538196379794164 0.1415032898747277 0.13460156067922632 0.12500432358420555 0.13531362556640095 0.1416844846666086
290 310 0.32197615707466565 0.2991225070481839 0.33945793506243604 0.3214100580447825 0.2978269842077058 0.3237299387812764 0.34004230252983203
310 330 0.5166393753755691 0.47995999065407113 0.5452190410066587 0.5153245570621289 0.47733259837766334 0.5198822523713829 0.5462933601520178
330 350 0.6879728986243898 0.6394653611742254 0.7261240033569974 0.6857526611651521 0.6352927865625201 0.692798427927617 0.72769319008774
350 370 0.8256247321349747 0.7679519426455694 0.8712236254992798 0.8224332963509651 0.7622070132508082 0.8319544201525876 0.8732340605922193
370 390 0.9290267723000113 0.8648082913574145 0.9799617200420204 0.9248936001474011 0.8575766843876924 0.9366947286600792 0.9823514518496061
390 410 1.0017974131947145 0.9332926808303004 1.056247933088763 0.9968001755333911 0.9247204643445055 1.0106123001695577 1.0589501465633615
410 430 1.048839498593186 0.9778762963380193 1.1053418966539628 1.0430798638869485 0.9681590804545184 1.0585825987377073 1.1082892360941685
430 450 1.0750038930898649 1.003022434398312 1.132373198439872 1.0685945073161116 0.9923472229224068 1.0854892910365077 1.1355240372328141
450 470 1.0846284985084422 1.0127355519725014 1.141974403391266 1.0776747218187288 1.0012791960402319 1.095663964764817 1.1452526566071943
470 490 1.0814417953393323 1.010465509316642 1.1380927579795477 1.0740588124709434 0.9984029910603331 1.0928806259575374 1.1414779333479506
490 510 1.0685112973717812 0.9990420647543601 1.123981357001748 1.0607974795451875 0.9865345975546548 1.0802056048989626 1.1274235980296585
510 530 1.0483325736933196 0.9807815043738827 1.102298343086625 1.0403709428057866 0.9679586477257524 1.0601635543338932 1.1057632373151067
