# NNLO PTh1 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh1(min) PTh1(max) scale=(muR/mu0,muF/mu0):
# PTh1(min) PTh1(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
0. 10. 0.012391119999999999 0.009093919 0.01481235 0.005136311 0.003986727 0.02738651 0.032392649999999995
10. 20. 0.03020445 0.02749012 0.03195331 0.02431432 0.02431753 0.04357754999999999 0.04966092
20. 30. 0.05793569 0.057882209999999996 0.059752980000000004 0.0559375 0.05380566 0.06710487 0.07240234
30. 40. 0.1227349 0.1177078 0.1199352 0.11215259999999999 0.11095189999999999 0.1341262 0.13696170000000002
40. 50. 0.1715227 0.16521629999999998 0.17338180000000003 0.1636008 0.1594057 0.178963 0.1899193
50. 60. 0.2374288 0.2361753 0.2419625 0.2255435 0.2272596 0.2515752 0.2575948
60. 70. 0.31855120000000003 0.31335349999999995 0.313772 0.2999175 0.29716739999999997 0.3359284 0.3420379
70. 80. 0.3879308 0.3882687 0.39333090000000004 0.3717135 0.3677663 0.41266539999999996 0.4281157
80. 90. 0.4760392 0.47522469999999994 0.4820727 0.453353 0.4467783 0.5006302 0.5132296000000001
90. 100. 0.5594053999999999 0.5598637 0.5642955000000001 0.5273203 0.5305755999999999 0.5835338 0.5918587
100. 110. 0.6333084 0.6323162 0.6381375 0.6003053 0.597737 0.6578249999999999 0.6628885
110. 120. 0.7158401000000001 0.7114969 0.7186693 0.6773719 0.6720153 0.7447557 0.7496696999999999
120. 130. 0.7707434000000001 0.768779 0.7749481 0.7287491 0.7267996 0.8029553 0.8037627
130. 140. 0.8295089 0.8231666 0.8342806 0.7879258 0.7766814 0.8629905 0.8649931
140. 150. 0.8713506999999999 0.8645725999999999 0.8683032 0.8264482 0.8168443000000001 0.9022108 0.9057287
150. 160. 0.9204716000000001 0.9140199 0.9303845 0.8668912 0.8562301 0.9577851 0.9643077999999999
160. 170. 0.9422524 0.9394678 0.948469 0.8869454 0.8799767000000001 0.9829727 0.9864677
170. 180. 0.9410620999999999 0.9428053999999999 0.9532393 0.8910577 0.8868881000000001 0.9741683 0.9786328
