#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       -0.0021217749    0.000600430    -0.0045797369    0.000831389   -0.00069663443    0.000426479       115.84%    -67.17%
          10          20        0.0026230741    0.000598965    -0.0010499609    0.000838548     0.0044548746    0.000428666      -140.03%     69.83%
          20          30         0.011314901    0.000610157     0.0079730414    0.000853665      0.012522612    0.000438969       -29.54%     10.67%
          30          40         0.021497401    0.000679253      0.019025208    0.000952591      0.022184970    0.000444764       -11.50%      3.20%
          40          50         0.033049011    0.000784917      0.031714040     0.00110240      0.033715899    0.000744830        -4.04%      2.02%
          50          60         0.045698688    0.000723585      0.043198858    0.000548754      0.046912198    0.000673196        -5.47%      2.66%
          60          70         0.059519858     0.00106448      0.055532968    0.000765792      0.062342006     0.00143706        -6.70%      4.74%
          70          80         0.074520003    0.000751780      0.068717889    0.000539133      0.079206979     0.00101418        -7.79%      6.29%
          80          90         0.089875655     0.00108095      0.082222347    0.000775272      0.096420118     0.00145774        -8.52%      7.28%
          90         100          0.10618808     0.00118777      0.096473597    0.000852679       0.11483635     0.00159951        -9.15%      8.14%
         100         110          0.12246336     0.00132408       0.11080858    0.000951322       0.13302394     0.00178152        -9.52%      8.62%
         110         120          0.14011076     0.00133511       0.12623250    0.000955949       0.15286408     0.00179559        -9.91%      9.10%
         120         130          0.15834366     0.00104538       0.14192006    0.000750589       0.17369719     0.00139774       -10.37%      9.70%
         130         140          0.17198766    0.000205428       0.15243849    0.000146861       0.19160197    0.000298699       -11.37%     11.40%
         140         150          0.17606120    0.000207531       0.15443915    0.000152500       0.19905171    0.000292522       -12.28%     13.06%
         150         160          0.17221361    0.000370846       0.14971840    0.000272465       0.19713176    0.000513770       -13.06%     14.47%
         160         170          0.16310310    0.000488898       0.14069324    0.000519740       0.18869123    0.000680487       -13.74%     15.69%
         170         180          0.15052342    0.000786720       0.12893528    0.000573611       0.17576381     0.00109407       -14.34%     16.77%
         180         190          0.13582769    0.000788247       0.11570678    0.000572959       0.15975306     0.00109999       -14.81%     17.61%
         190         200          0.12068532    0.000623590       0.10233242    0.000453957       0.14277723    0.000868937       -15.21%     18.31%
         200         210          0.10654975    0.000696410      0.089898154    0.000504466       0.12685687    0.000976369       -15.63%     19.06%
         210         220         0.092977389    0.000590661      0.078124578    0.000427795       0.11126585    0.000828460       -15.97%     19.67%
         220         230         0.080760006    0.000793078      0.067579023    0.000571950      0.097146508     0.00111746       -16.32%     20.29%
         230         240         0.069520871    0.000539139      0.058001183    0.000389733      0.083926424    0.000757625       -16.57%     20.72%
         240         250         0.059417144    0.000274726      0.049475058    0.000197744      0.071888143    0.000388949       -16.73%     20.99%
         250         260         0.051120604    0.000359628      0.042435339    0.000259259      0.062082381    0.000507133       -16.99%     21.44%
         260         270         0.043901720    0.000468168      0.036323762    0.000335828      0.053531171    0.000663680       -17.26%     21.93%
         270         280         0.037490454    0.000208499      0.030957018    0.000149341      0.045818341    0.000296678       -17.43%     22.21%
         280         290         0.031927822    0.000222440      0.026326637    0.000159779      0.039080689    0.000315030       -17.54%     22.40%
         290         300         0.027378472    0.000154028      0.022526069    0.000110379      0.033598129    0.000219210       -17.72%     22.72%
         300         310         0.023374379    0.000115490      0.019213665    8.25992e-05      0.028711001    0.000164970       -17.80%     22.83%
         310         320         0.019980607    0.000115216      0.016394418    8.23174e-05      0.024593430    0.000164486       -17.95%     23.09%
         320         330         0.017145837    0.000161284      0.014053273    0.000115275      0.021128391    0.000229352       -18.04%     23.23%
         330         340         0.014779129    0.000133098      0.012092189    9.48409e-05      0.018249349    0.000190039       -18.18%     23.48%
         340         350         0.012680234    8.32714e-05      0.010368968    5.94777e-05      0.015664564    0.000118860       -18.23%     23.54%
         350         360         0.010897344    0.000121090     0.0089012327    8.60405e-05      0.013477574    0.000173041       -18.32%     23.68%
         360         370        0.0094048858    8.74062e-05     0.0076791740    6.22247e-05      0.011635280    0.000124762       -18.35%     23.72%
         370         380        0.0080854173    7.82637e-05     0.0065974768    5.54632e-05      0.010008840    0.000112239       -18.40%     23.79%
         380         390        0.0070311836    6.77788e-05     0.0057268130    4.83948e-05     0.0087217646    9.64370e-05       -18.55%     24.04%
         390         400        0.0061263823    6.36638e-05     0.0049833966    3.40284e-05     0.0076103927    9.09266e-05       -18.66%     24.22%
         400         410        0.0053322464    6.29422e-05     0.0043378847    4.46967e-05     0.0066215333    8.98709e-05       -18.65%     24.18%
         410         420        0.0046324328    5.11657e-05     0.0037640584    3.62678e-05     0.0057606630    7.34991e-05       -18.75%     24.36%
         420         430        0.0040306773    3.82306e-05     0.0032740430    2.69611e-05     0.0050129917    5.51531e-05       -18.77%     24.37%
         430         440        0.0035142533    3.32711e-05     0.0028600628    2.35691e-05     0.0043584567    4.77478e-05       -18.62%     24.02%
         440         450        0.0030768660    2.92822e-05     0.0025010994    2.53519e-05     0.0038209850    5.10708e-05       -18.71%     24.18%
         450         460        0.0027248271    4.02485e-05     0.0022123861    2.82747e-05     0.0033885523    5.78329e-05       -18.81%     24.36%
         460         470        0.0023874962    1.38690e-05     0.0019386351    9.84414e-06     0.0029676859    2.06279e-05       -18.80%     24.30%
         470         480        0.0021064512    2.61632e-05     0.0017079604    1.83637e-05     0.0026230303    3.77427e-05       -18.92%     24.52%
         480         490        0.0018518291    2.79671e-05     0.0015041762    1.96745e-05     0.0022999477    4.02034e-05       -18.77%     24.20%
         490         500        0.0016485302    1.06378e-05     0.0013367577    7.52499e-06     0.0020515528    1.59828e-05       -18.91%     24.45%
         500         510        0.0014534236    1.80494e-05     0.0011796387    1.27198e-05     0.0018063519    2.60853e-05       -18.84%     24.28%
         510         520        0.0012795767    1.25024e-05     0.0010366006    8.78256e-06     0.0015937275    1.83659e-05       -18.99%     24.55%
         520         530        0.0011492633    1.49431e-05    0.00092943425    1.05087e-05     0.0014346156    2.18375e-05       -19.13%     24.83%
         530         540        0.0010017717    7.12030e-06    0.00081386250    5.03860e-06     0.0012423629    1.09401e-05       -18.76%     24.02%
         540         550       0.00092534085    1.58672e-05    0.00074765950    1.11159e-05     0.0011559676    2.28895e-05       -19.20%     24.92%
         550         560       0.00081181601    6.53163e-06    0.00065681366    4.60891e-06     0.0010118877    1.00050e-05       -19.09%     24.64%
         560         570       0.00071809746    8.10211e-06    0.00058134360    5.70571e-06    0.00089428235    1.19883e-05       -19.04%     24.53%
         570         580       0.00065971618    1.07229e-05    0.00053337742    7.54875e-06    0.00082309025    1.54811e-05       -19.15%     24.76%
         580         590       0.00058683034    7.84360e-06    0.00047515069    5.49330e-06    0.00073035484    1.15344e-05       -19.03%     24.46%
         590         600       0.00053062126    8.80876e-06    0.00042971364    6.19130e-06    0.00066016136    1.28229e-05       -19.02%     24.41%
         600         610       0.00048234268    8.35761e-06    0.00038979516    5.84835e-06    0.00060191211    1.22309e-05       -19.19%     24.79%
         610         620       0.00041837715    4.54447e-06    0.00034022320    3.22763e-06    0.00051729391    6.76088e-06       -18.68%     23.64%
         620         630       0.00038272848    4.77592e-06    0.00031025001    3.93442e-06    0.00047511291    8.37221e-06       -18.94%     24.14%
         630         640       0.00034275038    3.56602e-06    0.00027818516    2.75786e-06    0.00042530427    5.67053e-06       -18.84%     24.09%
         640         650       0.00031409765    6.12060e-06    0.00025442608    4.27671e-06    0.00039033345    8.98522e-06       -19.00%     24.27%
         650         660       0.00028137213    5.33278e-06    0.00022849844    3.73785e-06    0.00034854093    8.03965e-06       -18.79%     23.87%
         660         670       0.00025429471    3.75958e-06    0.00020573452    2.66673e-06    0.00031615739    5.85188e-06       -19.10%     24.33%
         670         680       0.00023200126    3.00973e-06    0.00018748727    2.15594e-06    0.00028906961    4.78872e-06       -19.19%     24.60%
         680         690       0.00021032882    2.92390e-06    0.00016953897    2.08263e-06    0.00026304728    4.65878e-06       -19.39%     25.06%
         690         700       0.00019084979    2.72240e-06    0.00015592384    1.93973e-06    0.00023408514    4.36741e-06       -18.30%     22.65%
         700         710       0.00017518386    3.47863e-06    0.00014106276    2.43695e-06    0.00021928565    5.25473e-06       -19.48%     25.17%
         710         720       0.00015692809    2.12476e-06    0.00012688944    1.51931e-06    0.00019516665    3.43844e-06       -19.14%     24.37%
         720         730       0.00013956445    2.19453e-06    0.00011312647    1.61749e-06    0.00017290299    3.57978e-06       -18.94%     23.89%
         730         740       0.00012981413    2.06244e-06    0.00010498735    1.46919e-06    0.00016132132    3.26403e-06       -19.12%     24.27%
         740         750       0.00011827523    2.43070e-06    9.4993887e-05    1.71065e-06    0.00014845838    3.72149e-06       -19.68%     25.52%
         750         760       0.00010987578    1.79278e-06    8.9222636e-05    1.27543e-06    0.00013575706    2.90418e-06       -18.80%     23.56%
         760         770       9.8111676e-05    1.74155e-06    8.0231177e-05    1.23609e-06    0.00011995866    2.81628e-06       -18.22%     22.27%
         770         780       8.9846905e-05    1.50052e-06    7.2632593e-05    1.07228e-06    0.00011163618    2.42526e-06       -19.16%     24.25%
         780         790       8.2836725e-05    1.56557e-06    6.6916270e-05    1.13580e-06    0.00010297380    2.56397e-06       -19.22%     24.31%
         790         800       7.5182630e-05    1.46160e-06    6.0770185e-05    1.04017e-06    9.3344648e-05    2.34834e-06       -19.17%     24.16%
         800         810       7.1673186e-05    1.96362e-06    5.7750536e-05    1.37133e-06    8.9492873e-05    2.99391e-06       -19.43%     24.86%
         810         820       6.4966903e-05    1.32074e-06    5.2359369e-05    9.84588e-07    8.1015971e-05    2.23319e-06       -19.41%     24.70%
         820         830       5.9801134e-05    1.70734e-06    4.8380933e-05    1.19727e-06    7.4268645e-05    2.70021e-06       -19.10%     24.19%
         830         840       5.3682042e-05    1.18652e-06    4.3213841e-05    8.64650e-07    6.6987478e-05    2.03921e-06       -19.50%     24.79%
         840         850       5.1454762e-05    1.43207e-06    4.0589822e-05    1.02119e-06    6.6016155e-05    2.27671e-06       -21.12%     28.30%
         850         860       4.6898758e-05    1.31466e-06    3.7791102e-05    9.68865e-07    5.8451147e-05    2.20090e-06       -19.42%     24.63%
         860         870       4.1428954e-05    1.07057e-06    3.3509911e-05    7.79456e-07    5.1325463e-05    1.79880e-06       -19.11%     23.89%
         870         880       4.0409626e-05    1.25393e-06    3.2435747e-05    8.87954e-07    5.0653851e-05    2.06177e-06       -19.73%     25.35%
         880         890       3.7095519e-05    9.56668e-07    3.0151064e-05    6.96398e-07    4.5702102e-05    1.59773e-06       -18.72%     23.20%
         890         900       3.3180223e-05    1.12949e-06    2.6854010e-05    7.99530e-07    4.1148483e-05    1.81371e-06       -19.07%     24.02%
         900         910       3.0687286e-05    9.53697e-07    2.4662235e-05    6.81976e-07    3.8354249e-05    1.55156e-06       -19.63%     24.98%
         910         920       2.8342399e-05    8.73680e-07    2.2394719e-05    6.17669e-07    3.6224894e-05    1.40147e-06       -20.99%     27.81%
         920         930       2.8029810e-05    9.78103e-07    2.2329519e-05    6.82574e-07    3.5478244e-05    1.58214e-06       -20.34%     26.57%
         930         940       2.3810412e-05    7.21525e-07    1.9365367e-05    5.13238e-07    2.9300148e-05    1.27106e-06       -18.67%     23.06%
         940         950       2.2516471e-05    6.69705e-07    1.7973943e-05    4.78608e-07    2.8393717e-05    1.11737e-06       -20.17%     26.10%
         950         960       2.1333535e-05    6.78452e-07    1.7238688e-05    4.81187e-07    2.6440536e-05    1.14734e-06       -19.19%     23.94%
         960         970       1.8450038e-05    6.59503e-07    1.4886900e-05    4.67913e-07    2.2918767e-05    1.08100e-06       -19.31%     24.22%
         970         980       1.8937571e-05    7.12824e-07    1.5056051e-05    5.00597e-07    2.4012205e-05    1.13541e-06       -20.50%     26.80%
         980         990       1.6198082e-05    5.65843e-07    1.3064329e-05    4.01228e-07    2.0115764e-05    9.26507e-07       -19.35%     24.19%
         990        1000       1.5307528e-05    4.88060e-07    1.2080420e-05    3.46762e-07    1.9602274e-05    8.09964e-07       -21.08%     28.06%
