#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       -0.0033606418    0.000485102    -0.0063068054    0.000679004    -0.0015999987    0.000354777        87.67%    -52.39%
          10          20        0.0017809604    0.000628084    -0.0022502842    0.000881442     0.0038531004    0.000458352      -226.35%    116.35%
          20          30        0.0097952137    0.000629086     0.0058317957    0.000888507      0.011417083    0.000456691       -40.46%     16.56%
          30          40         0.020883985    0.000890109      0.018166939     0.00125223      0.021598664    0.000845722       -13.01%      3.42%
          40          50         0.031841552    0.000986255      0.030024136     0.00138658      0.032557517    0.000937577        -5.71%      2.25%
          50          60         0.044895342    0.000961435      0.042564108    0.000737479      0.045871122     0.00128792        -5.19%      2.17%
          60          70         0.058496207     0.00106714      0.054788347    0.000818678      0.060949203     0.00142926        -6.34%      4.19%
          70          80         0.071489044     0.00119513      0.066509760    0.000868583      0.075134498     0.00160057        -6.97%      5.10%
          80          90         0.088494796     0.00137580      0.081192281     0.00100115      0.094565122     0.00184281        -8.25%      6.86%
          90         100          0.10428361     0.00147897      0.095104665     0.00107660       0.11228410     0.00198045        -8.80%      7.67%
         100         110          0.12219612     0.00147854       0.11057182     0.00107521       0.13271453     0.00197956        -9.51%      8.61%
         110         120          0.13674369     0.00165940       0.12384576     0.00120532       0.14830621     0.00222298        -9.43%      8.46%
         120         130          0.15668893     0.00174846       0.14072124     0.00127064       0.17152192     0.00234174       -10.19%      9.47%
         130         140          0.17198389     0.00173824       0.15245179     0.00126464       0.19157553     0.00244817       -11.36%     11.39%
         140         150          0.17863146     0.00176747       0.15634111     0.00128509       0.20260497     0.00249109       -12.48%     13.42%
         150         160          0.17385239     0.00172421       0.15090787     0.00125269       0.19944854     0.00243220       -13.20%     14.72%
         160         170          0.16395667     0.00167524       0.14134249     0.00121514       0.18982390     0.00236740       -13.79%     15.78%
         170         180          0.14954337     0.00159301       0.12826572     0.00115334       0.17429350     0.00225605       -14.23%     16.55%
         180         190          0.13806109     0.00151415       0.11731610     0.00109606       0.16292264     0.00214494       -15.03%     18.01%
         190         200          0.12346511     0.00136469       0.10433940    0.000987192       0.14671916     0.00193482       -15.49%     18.83%
         200         210          0.10694669     0.00117867      0.090176492    0.000850703       0.12742712     0.00167531       -15.68%     19.15%
         210         220         0.094445834     0.00105644      0.079161546    0.000761635       0.11340065     0.00150342       -16.18%     20.07%
         220         230         0.081273485    0.000919021      0.067978224    0.000661822      0.097809690     0.00130958       -16.36%     20.35%
         230         240         0.071437599    0.000778746      0.059378522    0.000559842      0.086662697     0.00111193       -16.88%     21.31%
         240         250         0.060658656    0.000688937      0.050360633    0.000494668      0.073671634    0.000985031       -16.98%     21.45%
         250         260         0.051070290    0.000606998      0.042392428    0.000435200      0.062020731    0.000869334       -16.99%     21.44%
         260         270         0.045168660    0.000520001      0.037231809    0.000372388      0.055343155    0.000745770       -17.57%     22.53%
         270         280         0.037379103    0.000457025      0.030887581    0.000326970      0.045635152    0.000656176       -17.37%     22.09%
         280         290         0.032728736    0.000408554      0.026897461    0.000292001      0.040233013    0.000587251       -17.82%     22.93%
         290         300         0.027274068    0.000373157      0.022458252    0.000266135      0.033431739    0.000537567       -17.66%     22.58%
         300         310         0.023866856    0.000337401      0.019555737    0.000240349      0.029436880    0.000486713       -18.06%     23.34%
         310         320         0.020873795    0.000283572      0.017025139    0.000202197      0.025893668    0.000408650       -18.44%     24.05%
         320         330         0.017449091    0.000240760      0.014271958    0.000171589      0.021556720    0.000347126       -18.21%     23.54%
         330         340         0.014758404    0.000215483      0.012074353    0.000153340      0.018223677    0.000311240       -18.19%     23.48%
         340         350         0.013016281    0.000191281      0.010601899    0.000136013      0.016161241    0.000276517       -18.55%     24.16%
         350         360         0.010909901    0.000162884     0.0089083206    0.000115732      0.013499346    0.000235635       -18.35%     23.73%
         360         370        0.0095609753    0.000149322     0.0077844417    0.000106053      0.011870496    0.000216106       -18.58%     24.16%
         370         380        0.0085029999    0.000128638     0.0068943721    9.12838e-05      0.010610966    0.000186363       -18.92%     24.79%
         380         390        0.0068757714    0.000112622     0.0056195181    7.98389e-05     0.0084892910    0.000163336       -18.27%     23.47%
         390         400        0.0062223786    0.000103409     0.0050533822    7.32153e-05     0.0077451031    0.000150197       -18.79%     24.47%
         400         410        0.0053689041    9.37942e-05     0.0043625994    6.63835e-05     0.0066762482    0.000136295       -18.74%     24.35%
         410         420        0.0047176578    8.29692e-05     0.0038271307    5.87218e-05     0.0058777926    0.000120555       -18.88%     24.59%
         420         430        0.0041028744    7.33918e-05     0.0033275652    5.18940e-05     0.0051122279    0.000106750       -18.90%     24.60%
         430         440        0.0036197987    6.58999e-05     0.0029333632    4.65545e-05     0.0045135667    9.59513e-05       -18.96%     24.69%
         440         450        0.0031122580    5.99430e-05     0.0025245261    4.23077e-05     0.0038750083    8.73778e-05       -18.88%     24.51%
         450         460        0.0027574688    5.27508e-05     0.0022335236    3.72145e-05     0.0034391097    7.69403e-05       -19.00%     24.72%
         460         470        0.0023407810    4.68394e-05     0.0019042090    3.30452e-05     0.0029025757    6.83060e-05       -18.65%     24.00%
         470         480        0.0021730838    4.41819e-05     0.0017569082    3.11439e-05     0.0027155562    6.44872e-05       -19.15%     24.96%
         480         490        0.0018602842    4.01079e-05     0.0015080128    2.82453e-05     0.0023162236    5.86033e-05       -18.94%     24.51%
         490         500        0.0017554549    3.52285e-05     0.0014121134    2.47989e-05     0.0022070812    5.15052e-05       -19.56%     25.73%
         500         510        0.0013975076    3.14935e-05     0.0011390477    2.21568e-05     0.0017267073    4.60778e-05       -18.49%     23.56%
         510         520        0.0013102200    3.08318e-05     0.0010606757    2.16915e-05     0.0016330319    4.51050e-05       -19.05%     24.64%
         520         530        0.0011781569    2.83288e-05    0.00095181227    1.99101e-05     0.0014722876    4.14906e-05       -19.21%     24.97%
         530         540        0.0010271583    2.50702e-05    0.00083215627    1.76035e-05     0.0012783737    3.67536e-05       -18.98%     24.46%
         540         550       0.00091195719    2.27482e-05    0.00073854167    1.59501e-05     0.0011355122    3.34112e-05       -19.02%     24.51%
         550         560       0.00085192231    2.07232e-05    0.00068542560    1.45257e-05     0.0010697074    3.04511e-05       -19.54%     25.56%
         560         570       0.00070938360    1.96922e-05    0.00057666349    1.38084e-05    0.00087835985    2.89122e-05       -18.71%     23.82%
         570         580       0.00067979508    1.83030e-05    0.00054724930    1.28353e-05    0.00085255267    2.68674e-05       -19.50%     25.41%
         580         590       0.00055800930    3.36662e-05    0.00045416302    2.37203e-05    0.00068949688    4.91352e-05       -18.61%     23.56%
         590         600       0.00055528704    3.31241e-05    0.00044638514    2.33393e-05    0.00069721670    4.83415e-05       -19.61%     25.56%
         600         610       0.00048206734    1.67635e-05    0.00038884086    1.17332e-05    0.00060277630    2.46584e-05       -19.34%     25.04%
         610         620       0.00042897255    1.60420e-05    0.00034655252    1.12229e-05    0.00053495213    2.36063e-05       -19.21%     24.71%
         620         630       0.00038003421    1.34187e-05    0.00030784713    9.39133e-06    0.00047215248    1.97424e-05       -18.99%     24.24%
         630         640       0.00036649131    1.26040e-05    0.00029412246    8.81520e-06    0.00046093115    1.85598e-05       -19.75%     25.77%
         640         650       0.00030984201    1.05882e-05    0.00025101481    7.38634e-06    0.00038475015    1.56406e-05       -18.99%     24.18%
         650         660       0.00029706030    9.66078e-06    0.00023824509    6.73928e-06    0.00037377191    1.42698e-05       -19.80%     25.82%
         660         670       0.00025515749    8.97336e-06    0.00020645325    6.26110e-06    0.00031720235    1.32505e-05       -19.09%     24.32%
         670         680       0.00024270830    8.91776e-06    0.00019506868    6.22529e-06    0.00030451710    1.31603e-05       -19.63%     25.47%
         680         690       0.00021027689    8.43695e-06    0.00017008090    5.88678e-06    0.00026141835    1.24590e-05       -19.12%     24.32%
         690         700       0.00019135743    8.11619e-06    0.00015443256    5.65952e-06    0.00023866509    1.19936e-05       -19.30%     24.72%
         700         710       0.00017658735    7.54487e-06    0.00014228602    5.26556e-06    0.00022060695    1.11378e-05       -19.42%     24.93%
         710         720       0.00016558146    6.70942e-06    0.00013268625    4.68049e-06    0.00020836720    9.91038e-06       -19.87%     25.84%
         720         730       0.00015288900    6.10360e-06    0.00012242184    4.25790e-06    0.00019257388    9.01668e-06       -19.93%     25.96%
         730         740       0.00012370126    5.90207e-06    0.00010039896    4.11701e-06    0.00015294211    8.71916e-06       -18.84%     23.64%
         740         750       0.00012002099    5.79285e-06    9.6701833e-05    4.03699e-06    0.00014985012    8.56610e-06       -19.43%     24.85%
         750         760       0.00012145327    5.05152e-06    9.6655125e-05    3.51594e-06    0.00015416070    7.48184e-06       -20.42%     26.93%
         760         770       9.1077085e-05    4.73296e-06    7.4575728e-05    3.28919e-06    0.00011115155    7.02133e-06       -18.12%     22.04%
         770         780       0.00010169296    4.51918e-06    8.0896579e-05    3.13738e-06    0.00012908078    6.71246e-06       -20.45%     26.93%
         780         790       8.5270606e-05    3.93688e-06    6.8537594e-05    2.73776e-06    0.00010675821    5.83964e-06       -19.62%     25.20%
         790         800       7.3911220e-05    3.97329e-06    5.9804148e-05    2.76508e-06    9.1706170e-05    5.88829e-06       -19.09%     24.08%
         800         810       7.2014874e-05    3.78102e-06    5.7714323e-05    2.63197e-06    9.0464478e-05    5.60258e-06       -19.86%     25.62%
         810         820       6.8668834e-05    3.40055e-06    5.4818511e-05    2.36934e-06    8.6725849e-05    5.03846e-06       -20.17%     26.30%
         820         830       6.3557301e-05    3.12197e-06    5.0651442e-05    2.17503e-06    8.0394100e-05    4.62841e-06       -20.31%     26.49%
         830         840       4.9660099e-05    3.14521e-06    4.0444833e-05    2.18607e-06    6.1006972e-05    4.67286e-06       -18.56%     22.85%
         840         850       5.6846220e-05    3.06545e-06    4.5008704e-05    2.13115e-06    7.2535979e-05    4.55081e-06       -20.82%     27.60%
         850         860       4.0794249e-05    2.80170e-06    3.3232834e-05    1.94717e-06    5.0074860e-05    4.16016e-06       -18.54%     22.75%
         860         870       4.5941070e-05    2.85474e-06    3.6652898e-05    1.98023e-06    5.8003611e-05    4.24876e-06       -20.22%     26.26%
         870         880       4.2027672e-05    2.72082e-06    3.3394524e-05    1.88798e-06    5.3375706e-05    4.04715e-06       -20.54%     27.00%
         880         890       3.6286451e-05    2.47404e-06    2.9200474e-05    1.71848e-06    4.5266825e-05    3.67614e-06       -19.53%     24.75%
         890         900       3.1966198e-05    2.15528e-06    2.5654346e-05    1.49355e-06    4.0013331e-05    3.21114e-06       -19.75%     25.17%
         900         910       3.3783881e-05    1.97912e-06    2.6741350e-05    1.37417e-06    4.3093956e-05    2.94246e-06       -20.85%     27.56%
         910         920       2.9324704e-05    1.92036e-06    2.3459137e-05    1.33304e-06    3.6864150e-05    2.85590e-06       -20.00%     25.71%
         920         930       2.4926973e-05    1.88171e-06    2.0150680e-05    1.30303e-06    3.0873607e-05    2.80492e-06       -19.16%     23.86%
         930         940       2.4791019e-05    1.86639e-06    1.9780984e-05    1.29176e-06    3.1265799e-05    2.78315e-06       -20.21%     26.12%
         940         950       2.3106421e-05    1.77612e-06    1.8356754e-05    1.22600e-06    2.9310481e-05    2.65648e-06       -20.56%     26.85%
         950         960       2.1514219e-05    1.65544e-06    1.7202877e-05    1.14141e-06    2.7052345e-05    2.48009e-06       -20.04%     25.74%
         960         970       1.9164191e-05    1.52909e-06    1.5356842e-05    1.05604e-06    2.4013731e-05    2.28548e-06       -19.87%     25.31%
         970         980       1.8973552e-05    1.44524e-06    1.5014119e-05    9.98343e-07    2.4188955e-05    2.15939e-06       -20.87%     27.49%
         980         990       1.6950414e-05    1.78152e-06    1.3531843e-05    1.23134e-06    2.1353187e-05    2.65687e-06       -20.17%     25.97%
         990        1000       1.7006969e-05    1.69625e-06    1.3503541e-05    1.17272e-06    2.1568969e-05    2.52936e-06       -20.60%     26.82%
