# NNLO PTh2 cross section per bin in unit of fb at 14TeV
# Bin width is NOT divided
# PDF: PDF4LHC21_40, MH=125 GeV
# PTh2(min) PTh2(max) scale=(muR/mu0,muF/mu0):
# PTh2(min) PTh2(max)  (1.,1.)    (2.,1.)    (0.5,1.)    (1.,2.)    (2.,2.)    (1.,0.5)    (0.5,0.5)   
500. 510. 0.2261664 0.2207226 0.22505529999999999 0.21342280000000002 0.20733870000000001 0.2384532 0.2363885
510. 520. 0.2100278 0.2071797 0.2129452 0.1998754 0.1956134 0.2184278 0.2199882
520. 530. 0.20078120000000002 0.1975201 0.2044492 0.19042050000000002 0.1861127 0.21009570000000002 0.2122637
530. 540. 0.19166679999999997 0.18892679999999998 0.19612149999999998 0.1828033 0.1784961 0.2013954 0.20324370000000003
540. 550. 0.18446279999999998 0.1810797 0.1867502 0.17433110000000002 0.1705539 0.1921366 0.1945848
550. 560. 0.1757981 0.17328320000000003 0.17913769999999998 0.1663659 0.16254020000000002 0.1841231 0.1860137
560. 570. 0.1630861 0.1602092 0.1656275 0.1555645 0.15221089999999998 0.1693119 0.1702801
570. 580. 0.15982030000000003 0.15676800000000002 0.1621626 0.151257 0.1475961 0.1678922 0.1699235
580. 590. 0.15073140000000002 0.1477806 0.1527247 0.1423755 0.1398105 0.1570576 0.15867969999999998
590. 600. 0.1469271 0.143371 0.14698920000000001 0.1386542 0.1348114 0.15096510000000002 0.154192
600. 610. 0.1347672 0.1316839 0.1366985 0.1284823 0.1246968 0.14029049999999998 0.1410336
610. 620. 0.1320216 0.12938260000000001 0.1333171 0.1249159 0.1218672 0.13735809999999998 0.1400607
620. 630. 0.1243168 0.1224296 0.1273183 0.1180673 0.1151742 0.13026559999999998 0.1321935
630. 640. 0.1197294 0.11724979999999999 0.12195360000000001 0.11383870000000001 0.1105265 0.1243558 0.1243291
640. 650. 0.11376239999999999 0.1111519 0.115906 0.1080862 0.10517230000000001 0.1190373 0.1206894
650. 660. 0.10757050000000001 0.10600200000000001 0.1100035 0.10279170000000001 0.1006053 0.1121477 0.113331
660. 670. 0.1056608 0.1034011 0.1076128 0.09969593 0.09713474999999999 0.1109114 0.11248330000000001
670. 680. 0.09918510999999999 0.09719723 0.1011075 0.09396743 0.09160751 0.1039482 0.10520790000000001
680. 690. 0.09367459 0.09256049000000001 0.09540665000000001 0.08945194000000001 0.08731127999999999 0.09745037999999999 0.09840604
690. 700. 0.08987223000000001 0.08825581 0.09179746000000001 0.08550794 0.08323587 0.09380238 0.0948088
